Organization,Country,Lattitude,Longitude,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date,,
Thoughtblab,Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),John Smith,20/04/2024,SAAS,Churned Customer,7,,,833,90,07/08/2024,27/06/2024,,
Jaxnation,Spain,40.416775,-3.703790,Energy & Utilities,Small (11-200),Emily Johnson,28/05/2024,SAAS,Churned Customer,7,,,1623,30,25/10/2024,11/09/2024,,
Mybuzz,Italy,41.902782,12.496366,Education & Science,Small (11-200),Michael Brown,17/03/2024,SAAS,Churned Customer,7,,,1928,20,17/03/2025,11/05/2024,,
Kare,Germany,52.520008,13.404954,Government Administration Healthcare,Small (11-200),Michael Brown,18/01/2024,SAAS,Churned Customer,7,,,303,50,07/08/2024,06/05/2024,,
Skaboo,Germany,52.520008,13.404954,Energy & Utilities,Small (11-200),Michael Brown,06/04/2024,SAAS,Churned Customer,7,,,1911,30,11/10/2024,25/07/2024,,
Flashset,Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),Laura Thompson,21/02/2024,Custom solution,Churned Customer,7,,,455,20,23/09/2024,11/05/2024,,
Yozio,Belgium,51.260197,4.402771,IT & IT Services,Small (11-200),Laura Thompson,13/02/2024,SAAS,Churned Customer,7,,,351,30,18/03/2024,17/04/2024,,
Tanoodle,Switzerland,46.204391,6.143158,IT & IT Services,Small (11-200),Jessica Martinez,15/01/2024,Custom solution,Churned Customer,7,,,230,70,17/05/2024,11/05/2024,,
"Reilly, Wisozk and Stamm",France,48.864716,2.349014,Retail & Distribution,Small (11-200),Michael Brown,09/03/2024,SAAS,Churned Customer,7,,,1697,80,25/07/2024,30/06/2024,,
O'Conner-Sawayn,Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),Laura Thompson,01/04/2024,Services,Churned Customer,7,,,320,60,24/05/2024,01/07/2024,,
Klocko-Sporer,Germany,52.520008,13.404954,Agriculture & Mining,Small (11-200),Emily Johnson,12/02/2024,Custom solution,Churned Customer,7,,,721,20,10/01/2025,31/03/2024,,
Borer Inc,Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Michael Brown,29/02/2024,Services,Churned Customer,7,,,768,80,18/08/2024,15/06/2024,,
"Jacobson, Crist and O'Kon",Austria,48.210033,16.363449,Government Administration Healthcare,Small (11-200),Kevin Anderson,11/04/2024,SAAS,Churned Customer,7,,,741,40,19/09/2024,13/05/2024,,
Hickle Inc,France,48.864716,2.349014,Professional Services  & Consulting,Small (11-200),Laura Thompson,23/01/2024,SAAS,Churned Customer,7,,,668,70,24/10/2024,19/04/2024,,
"Zulauf, Osinski and Lakin",Portugal,38.736946,-9.142685,Banking and Finance,Small (11-200),Jessica Martinez,10/03/2024,Custom solution,Churned Customer,7,,,406,30,24/05/2024,06/05/2024,,
"Cruickshank, Lubowitz and Marquardt",Portugal,38.736946,-9.142685,IT & IT Services,Small (11-200),Laura Thompson,12/04/2024,Services,Churned Customer,7,,,1686,40,06/05/2024,25/04/2024,,
